วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,% เปลี่ยน
1-Jul-19,0.2826,0.2833,0.2845,0.2815,-0.25%
30-Jun-19,0.2833,0.2838,0.2838,0.2829,-0.31%
28-Jun-19,0.2842,0.2856,0.2862,0.2842,-0.50%
27-Jun-19,0.2856,0.2854,0.2859,0.2845,0.09%
26-Jun-19,0.2854,0.2865,0.2875,0.2852,-0.41%
25-Jun-19,0.2865,0.2856,0.2875,0.2853,0.32%
24-Jun-19,0.2856,0.2865,0.2868,0.2855,-0.29%
23-Jun-19,0.2865,0.2868,0.2869,0.2864,-0.14%
21-Jun-19,0.2869,0.2878,0.288,0.2857,-0.31%
20-Jun-19,0.2878,0.2894,0.2906,0.2865,-0.56%
19-Jun-19,0.2894,0.2876,0.2899,0.2876,0.63%
18-Jun-19,0.2876,0.2888,0.2905,0.2876,-0.45%
17-Jun-19,0.2888,0.2873,0.289,0.2873,0.53%
16-Jun-19,0.2873,0.2877,0.2878,0.2873,-0.07%
14-Jun-19,0.2875,0.2881,0.2884,0.2874,-0.20%
13-Jun-19,0.2881,0.2883,0.2888,0.2876,-0.06%
12-Jun-19,0.2883,0.2882,0.2887,0.288,0.05%
11-Jun-19,0.2882,0.2891,0.2892,0.2873,-0.32%
10-Jun-19,0.2891,0.2886,0.2894,0.2883,0.17%
9-Jun-19,0.2886,0.2884,0.2887,0.2882,-0.13%
7-Jun-19,0.289,0.2888,0.29,0.2884,0.06%
6-Jun-19,0.2888,0.2897,0.2904,0.2885,-0.33%
5-Jun-19,0.2897,0.2892,0.2915,0.2891,0.18%
4-Jun-19,0.2892,0.29,0.291,0.2891,-0.25%
3-Jun-19,0.29,0.2913,0.2924,0.289,-0.45%
2-Jun-19,0.2913,0.2912,0.2915,0.2911,0.02%
31-May-19,0.2912,0.2906,0.2919,0.2902,0.21%
30-May-19,0.2906,0.2905,0.2907,0.2893,0.03%
29-May-19,0.2905,0.2914,0.292,0.2902,-0.29%
28-May-19,0.2914,0.2907,0.2916,0.29,0.25%
27-May-19,0.2907,0.2904,0.2913,0.2901,0.10%
26-May-19,0.2904,0.2906,0.2907,0.2903,-0.33%
24-May-19,0.2913,0.2909,0.2915,0.29,0.15%
23-May-19,0.2909,0.2897,0.2917,0.2897,0.40%
22-May-19,0.2897,0.289,0.29,0.2887,0.27%
21-May-19,0.289,0.2894,0.2901,0.2886,-0.14%
20-May-19,0.2894,0.289,0.2901,0.2885,0.13%
19-May-19,0.289,0.2891,0.2894,0.2889,-0.15%
17-May-19,0.2894,0.2882,0.2902,0.2878,0.43%
16-May-19,0.2882,0.2881,0.2889,0.2874,0.05%
15-May-19,0.2881,0.2873,0.2894,0.2871,0.27%
14-May-19,0.2873,0.2901,0.2901,0.2866,-0.97%
13-May-19,0.2901,0.2877,0.2902,0.2875,0.82%
12-May-19,0.2877,0.2875,0.2878,0.2872,0.25%
10-May-19,0.287,0.2894,0.2894,0.2866,-0.82%
9-May-19,0.2894,0.2889,0.2906,0.2887,0.16%
8-May-19,0.2889,0.2894,0.2899,0.2882,-0.19%
7-May-19,0.2894,0.288,0.2897,0.2877,0.51%
6-May-19,0.288,0.2886,0.2897,0.2873,-0.23%
5-May-19,0.2886,0.2891,0.2891,0.288,0.55%
3-May-19,0.2871,0.287,0.2876,0.2866,0.02%
2-May-19,0.287,0.2874,0.2877,0.286,-0.12%
1-May-19,0.2874,0.2862,0.2877,0.2858,0.39%
30-Apr-19,0.2862,0.2856,0.2873,0.2856,0.21%
