วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,% เปลี่ยน
2-Jul-19,3.5291,3.5341,3.5373,3.5203,-0.0014
1-Jul-19,3.5341,3.5387,3.5529,3.5213,-0.0014
30-Jun-19,3.5391,3.5163,3.5391,3.5163,0.0067
28-Jun-19,3.5156,3.5011,3.5173,3.4947,0.0042
27-Jun-19,3.501,3.5066,3.5156,3.4971,-0.0017
26-Jun-19,3.5069,3.4908,3.5092,3.4792,0.0048
25-Jun-19,3.4903,3.4998,3.5051,3.4781,-0.0025
24-Jun-19,3.4989,3.4867,3.5034,3.4817,0.0041
23-Jun-19,3.4845,3.4874,3.4876,3.4819,-0.0001
21-Jun-19,3.4848,3.4781,3.5027,3.4711,0.0024
20-Jun-19,3.4766,3.46,3.4907,3.455,0.0047
19-Jun-19,3.4605,3.475,3.4806,3.4552,-0.004
18-Jun-19,3.4745,3.4613,3.4785,3.4444,0.0038
17-Jun-19,3.4615,3.4733,3.4813,3.46,-0.0032
16-Jun-19,3.4727,3.478,3.478,3.4711,-0.0015
14-Jun-19,3.4779,3.472,3.4798,3.4644,0.0013
13-Jun-19,3.4733,3.472,3.4806,3.4632,0.0008
12-Jun-19,3.4705,3.4663,3.4727,3.4644,0.0008
11-Jun-19,3.4676,3.4599,3.4807,3.4567,0.0026
10-Jun-19,3.4586,3.4721,3.4762,3.4548,-0.0023
9-Jun-19,3.4667,3.4615,3.4765,3.4615,0.0016
7-Jun-19,3.4611,3.4638,3.4681,3.4468,-0.0008
6-Jun-19,3.4638,3.452,3.4684,3.4428,0.0034
5-Jun-19,3.4521,3.4529,3.4601,3.43,-0.0002
4-Jun-19,3.4529,3.4518,3.4601,3.4352,0.0003
3-Jun-19,3.4518,3.4427,3.4617,3.4229,0.0066
2-Jun-19,3.4292,3.4471,3.4471,3.4228,-0.0014
31-May-19,3.4341,3.4495,3.4508,3.4261,-0.0045
30-May-19,3.4497,3.4429,3.4581,3.4393,0.0021
29-May-19,3.4426,3.4332,3.4481,3.4242,0.0028
28-May-19,3.4329,3.4392,3.4489,3.4276,-0.0019
27-May-19,3.4396,3.4409,3.4487,3.4333,0.0001
26-May-19,3.4393,3.4395,3.4432,3.4334,0.0019
24-May-19,3.4329,3.4337,3.4484,3.4282,-0.0003
23-May-19,3.4339,3.4563,3.4574,3.4266,-0.0065
22-May-19,3.4562,3.4581,3.4642,3.4468,-0.0007
21-May-19,3.4587,3.4535,3.4661,3.4459,0.0015
20-May-19,3.4535,3.46,3.4716,3.4451,-0.0034
19-May-19,3.4654,3.4513,3.4674,3.4513,0.0027
17-May-19,3.4562,3.4675,3.4757,3.4445,-0.0033
16-May-19,3.4676,3.475,3.4811,3.4594,-0.0021
15-May-19,3.4748,3.4766,3.4846,3.456,-0.0004
14-May-19,3.4762,3.4544,3.4906,3.4467,0.0061
13-May-19,3.4552,3.4782,3.4837,3.4452,-0.0044
12-May-19,3.4704,3.479,3.4836,3.465,-0.0045
10-May-19,3.4859,3.4526,3.4907,3.4485,0.0094
9-May-19,3.4535,3.4613,3.4659,3.44,-0.0023
8-May-19,3.4613,3.4539,3.4712,3.448,0.0019
7-May-19,3.4546,3.4731,3.4758,3.4508,-0.0052
6-May-19,3.4726,3.4701,3.4817,3.4419,0.0061
5-May-19,3.4514,3.4678,3.472,3.4511,-0.0088
3-May-19,3.4819,3.4848,3.4901,3.4752,-0.0008
2-May-19,3.4848,3.4851,3.4964,3.4745,-0.0001
1-May-19,3.4851,3.4929,3.4971,3.4785,-0.0023
30-Apr-19,3.4933,3.4977,3.5015,3.4785,-0.0013
29-Apr-19,3.4977,3.4985,3.5051,3.4897,0.0009
28-Apr-19,3.4945,3.4973,3.4983,3.4895,0.0002
26-Apr-19,3.4939,3.481,3.503,3.4743,0.0036
25-Apr-19,3.4815,3.5009,3.5046,3.4728,-0.0054
24-Apr-19,3.5004,3.4966,3.5072,3.4848,0.001
23-Apr-19,3.4968,3.5082,3.5118,3.4901,-0.0031
22-Apr-19,3.5078,3.5164,3.5231,3.5057,-0.0027
21-Apr-19,3.5171,3.5169,3.519,3.5122,0.0004
19-Apr-19,3.5156,3.5204,3.5242,3.5143,-0.0013
18-Apr-19,3.5201,3.5249,3.5274,3.5091,-0.0014
17-Apr-19,3.5252,3.5183,3.5295,3.5151,0.0021
16-Apr-19,3.5177,3.5246,3.5259,3.513,-0.0018
15-Apr-19,3.5242,3.5244,3.5303,3.5187,-0.0009
14-Apr-19,3.5275,3.5277,3.5304,3.5224,-0.0002
12-Apr-19,3.5284,3.5034,3.5297,3.5004,0.007
11-Apr-19,3.5038,3.499,3.5063,3.4903,0.0015
10-Apr-19,3.4987,3.4996,3.5036,3.488,-0.0003
9-Apr-19,3.4996,3.4971,3.5067,3.4897,0.0007
